Treatment,Position,Site,Replicate,Acartia_Nauplii,Acartia_Copepodite,Acartia_Adult,Tmora_Nauplii,Tmora_Copepodite,Tmora_Adult,Oithona_Nauplii,Oithona_Copepodite,Oithona_Adult,Harpactecoid_Copepodite,Harpactecoid_Adult
Farm,Line,1,1,243,22,66,52,0,0,0,0,0,0,0
Farm,Line,1,2,269,37,91,71,0,0,0,0,0,0,0
Farm,Line,1,3,215,21,81,69,3,1,0,7,0,2,7
Farm,Between,1,1,243,21,103,48,4,4,0,8,4,1,9
Farm,Between,1,2,224,23,93,52,7,5,0,9,2,3,8
Farm,Between,1,3,197,28,102,45,5,4,0,7,5,1,4
Farm,Line,2,1,0,0,0,0,0,0,0,0,0,0,0
Farm,Line,2,2,790,66,92,73,9,7,0,4,6,2,4
Farm,Line,2,3,336,50,72,34,3,3,0,1,12,5,3
Farm,Between,2,1,536,47,96,222,7,3,0,11,9,3,3
Farm,Between,2,2,609,62,65,88,9,5,0,1,5,2,1
Farm,Between,2,3,309,55,114,36,11,5,0,4,8,5,6
Reference,NA,1,1,190,35,132,78,8,9,2,2,4,2,2
Reference,NA,1,2,247,41,212,46,0,0,0,0,0,0,0
Reference,NA,1,3,206,34,55,95,0,0,0,0,0,0,0
Reference,NA,1,1,232,41,58,119,0,0,0,0,0,0,0
Reference,NA,1,2,171,40,219,41,0,0,0,0,0,0,0
Reference,NA,1,3,229,20,60,87,0,0,0,0,0,0,0
Reference,NA,2,1,555,83,185,154,4,3,0,10,21,0,3
Reference,NA,2,2,782,60,113,184,16,8,0,10,11,1,3
Reference,NA,2,3,638,53,159,197,8,5,0,6,9,1,4
Reference,NA,2,1,524,78,124,157,4,1,0,4,17,2,1
Reference,NA,2,2,917,87,150,173,14,6,0,6,17,0,3
Reference,NA,2,3,680,45,166,249,10,3,0,3,11,1,5