Site,Position,Treatment,Species,Stage,Replicate ,Density 
1,Line,Farm,Acartia,Nauplii,1,33.00509338
1,Line,Farm,Acartia,Nauplii,2,36.53650255
1,Line,Farm,Acartia,Nauplii,3,29.20203735
1,Between,Farm,Acartia,Nauplii,1,33.00509338
1,Between,Farm,Acartia,Nauplii,2,30.42444822
1,Between,Farm,Acartia,Nauplii,3,26.75721562
2,Line,Farm,Acartia,Nauplii,2,107.3005093
2,Line,Farm,Acartia,Nauplii,3,45.63667233
2,Between,Farm,Acartia,Nauplii,1,72.80135823
2,Between,Farm,Acartia,Nauplii,2,82.71646859
2,Between,Farm,Acartia,Nauplii,3,41.96943973
1,Line,Farm,Acartia,Copopedite,1,2.98811545
1,Line,Farm,Acartia,Copopedite,2,5.025466893
1,Line,Farm,Acartia,Copopedite,3,2.85229202
1,Between,Farm,Acartia,Copopedite,1,2.85229202
1,Between,Farm,Acartia,Copopedite,2,3.123938879
1,Between,Farm,Acartia,Copopedite,3,3.803056027
2,Line,Farm,Acartia,Copopedite,2,8.96434635
2,Line,Farm,Acartia,Copopedite,3,6.791171477
2,Between,Farm,Acartia,Copopedite,1,6.383701188
2,Between,Farm,Acartia,Copopedite,2,8.421052632
2,Between,Farm,Acartia,Copopedite,3,7.470288625
1,Line,Farm,Acartia,Adult,1,8.96434635
1,Line,Farm,Acartia,Adult,2,12.35993209
1,Line,Farm,Acartia,Adult,3,11.00169779
1,Between,Farm,Acartia,Adult,1,13.98981324
1,Between,Farm,Acartia,Adult,2,12.63157895
1,Between,Farm,Acartia,Adult,3,13.85398981
2,Line,Farm,Acartia,Adult,2,12.49575552
2,Line,Farm,Acartia,Adult,3,9.779286927
2,Between,Farm,Acartia,Adult,1,13.03904924
2,Between,Farm,Acartia,Adult,2,8.82852292
2,Between,Farm,Acartia,Adult,3,15.48387097
1,Line,Farm,Tmora,Nauplii,1,7.062818336
1,Line,Farm,Tmora,Nauplii,2,9.643463497
1,Line,Farm,Tmora,Nauplii,3,9.371816638
1,Between,Farm,Tmora,Nauplii,1,6.519524618
1,Between,Farm,Tmora,Nauplii,2,7.062818336
1,Between,Farm,Tmora,Nauplii,3,6.112054329
2,Line,Farm,Tmora,Nauplii,2,9.915110357
2,Line,Farm,Tmora,Nauplii,3,4.617996604
2,Between,Farm,Tmora,Nauplii,1,30.15280136
2,Between,Farm,Tmora,Nauplii,2,11.9524618
2,Between,Farm,Tmora,Nauplii,3,4.889643463
1,Line,Farm,Tmora,Copopedite,1,0
1,Line,Farm,Tmora,Copopedite,2,0
1,Line,Farm,Tmora,Copopedite,3,0.407470289
1,Between,Farm,Tmora,Copopedite,1,0.543293718
1,Between,Farm,Tmora,Copopedite,2,0.950764007
1,Between,Farm,Tmora,Copopedite,3,0.679117148
2,Line,Farm,Tmora,Copopedite,2,1.222410866
2,Line,Farm,Tmora,Copopedite,3,0.407470289
2,Between,Farm,Tmora,Copopedite,1,0.950764007
2,Between,Farm,Tmora,Copopedite,2,1.222410866
2,Between,Farm,Tmora,Copopedite,3,1.494057725
1,Line,Farm,Tmora,Adult,1,0
1,Line,Farm,Tmora,Adult,2,0
1,Line,Farm,Tmora,Adult,3,0.13582343
1,Between,Farm,Tmora,Adult,1,0.543293718
1,Between,Farm,Tmora,Adult,2,0.679117148
1,Between,Farm,Tmora,Adult,3,0.543293718
2,Line,Farm,Tmora,Adult,2,0.950764007
2,Line,Farm,Tmora,Adult,3,0.407470289
2,Between,Farm,Tmora,Adult,1,0.407470289
2,Between,Farm,Tmora,Adult,2,0.679117148
2,Between,Farm,Tmora,Adult,3,0.679117148
1,Line,Farm,Oithona,Nauplii,1,0
1,Line,Farm,Oithona,Nauplii,2,0
1,Line,Farm,Oithona,Nauplii,3,0
1,Between,Farm,Oithona,Nauplii,1,0
1,Between,Farm,Oithona,Nauplii,2,0
1,Between,Farm,Oithona,Nauplii,3,0
2,Line,Farm,Oithona,Nauplii,2,0
2,Line,Farm,Oithona,Nauplii,3,0
2,Between,Farm,Oithona,Nauplii,1,0
2,Between,Farm,Oithona,Nauplii,2,0
2,Between,Farm,Oithona,Nauplii,3,0
1,Line,Farm,Oithona,Copopedite,1,0
1,Line,Farm,Oithona,Copopedite,2,0
1,Line,Farm,Oithona,Copopedite,3,0.950764007
1,Between,Farm,Oithona,Copopedite,1,1.086587436
1,Between,Farm,Oithona,Copopedite,2,1.222410866
1,Between,Farm,Oithona,Copopedite,3,0.950764007
2,Line,Farm,Oithona,Copopedite,2,0.543293718
2,Line,Farm,Oithona,Copopedite,3,0.13582343
2,Between,Farm,Oithona,Copopedite,1,1.494057725
2,Between,Farm,Oithona,Copopedite,2,0.13582343
2,Between,Farm,Oithona,Copopedite,3,0.543293718
1,Line,Farm,Oithona,Adult,1,0
1,Line,Farm,Oithona,Adult,2,0
1,Line,Farm,Oithona,Adult,3,0
1,Between,Farm,Oithona,Adult,1,0.543293718
1,Between,Farm,Oithona,Adult,2,0.271646859
1,Between,Farm,Oithona,Adult,3,0.679117148
2,Line,Farm,Oithona,Adult,2,0.814940577
2,Line,Farm,Oithona,Adult,3,1.629881154
2,Between,Farm,Oithona,Adult,1,1.222410866
2,Between,Farm,Oithona,Adult,2,0.679117148
2,Between,Farm,Oithona,Adult,3,1.086587436
1,Line,Farm,Harpactecoid,Nauplii,1,0
1,Line,Farm,Harpactecoid,Nauplii,2,0
1,Line,Farm,Harpactecoid,Nauplii,3,0
1,Between,Farm,Harpactecoid,Nauplii,1,0
1,Between,Farm,Harpactecoid,Nauplii,2,0
1,Between,Farm,Harpactecoid,Nauplii,3,0
2,Line,Farm,Harpactecoid,Nauplii,2,0
2,Line,Farm,Harpactecoid,Nauplii,3,0
2,Between,Farm,Harpactecoid,Nauplii,1,0
2,Between,Farm,Harpactecoid,Nauplii,2,0
2,Between,Farm,Harpactecoid,Nauplii,3,0
1,Line,Farm,Harpactecoid,Copopedite,1,0
1,Line,Farm,Harpactecoid,Copopedite,2,0
1,Line,Farm,Harpactecoid,Copopedite,3,0.271646859
1,Between,Farm,Harpactecoid,Copopedite,1,0.13582343
1,Between,Farm,Harpactecoid,Copopedite,2,0.407470289
1,Between,Farm,Harpactecoid,Copopedite,3,0.13582343
2,Line,Farm,Harpactecoid,Copopedite,2,0.271646859
2,Line,Farm,Harpactecoid,Copopedite,3,0.679117148
2,Between,Farm,Harpactecoid,Copopedite,1,0.407470289
2,Between,Farm,Harpactecoid,Copopedite,2,0.271646859
2,Between,Farm,Harpactecoid,Copopedite,3,0.679117148
1,Line,Farm,Harpactecoid,Adult,1,0
1,Line,Farm,Harpactecoid,Adult,2,0
1,Line,Farm,Harpactecoid,Adult,3,0.950764007
1,Between,Farm,Harpactecoid,Adult,1,1.222410866
1,Between,Farm,Harpactecoid,Adult,2,1.086587436
1,Between,Farm,Harpactecoid,Adult,3,0.543293718
2,Line,Farm,Harpactecoid,Adult,2,0.543293718
2,Line,Farm,Harpactecoid,Adult,3,0.407470289
2,Between,Farm,Harpactecoid,Adult,1,0.407470289
2,Between,Farm,Harpactecoid,Adult,2,0.13582343
2,Between,Farm,Harpactecoid,Adult,3,0.814940577
1,NA,Reference,Acartia,Nauplii,1,25.80645161
1,NA,Reference,Acartia,Nauplii,2,33.5483871
1,NA,Reference,Acartia,Nauplii,3,27.97962649
1,NA,Reference,Acartia,Nauplii,1,31.51103565
1,NA,Reference,Acartia,Nauplii,2,23.22580645
1,NA,Reference,Acartia,Nauplii,3,31.10356537
2,NA,Reference,Acartia,Nauplii,1,75.3820034
2,NA,Reference,Acartia,Nauplii,2,106.2139219
2,NA,Reference,Acartia,Nauplii,3,86.65534805
2,NA,Reference,Acartia,Nauplii,1,71.17147708
2,NA,Reference,Acartia,Nauplii,2,124.5500849
2,NA,Reference,Acartia,Nauplii,3,92.35993209
1,NA,Reference,Acartia,Copopedite,1,4.753820034
1,NA,Reference,Acartia,Copopedite,2,5.568760611
1,NA,Reference,Acartia,Copopedite,3,4.617996604
1,NA,Reference,Acartia,Copopedite,1,5.568760611
1,NA,Reference,Acartia,Copopedite,2,5.432937182
1,NA,Reference,Acartia,Copopedite,3,2.716468591
2,NA,Reference,Acartia,Copopedite,1,11.27334465
2,NA,Reference,Acartia,Copopedite,2,8.149405772
2,NA,Reference,Acartia,Copopedite,3,7.198641766
2,NA,Reference,Acartia,Copopedite,1,10.5942275
2,NA,Reference,Acartia,Copopedite,2,11.81663837
2,NA,Reference,Acartia,Copopedite,3,6.112054329
1,NA,Reference,Acartia,Copopedite,1,17.9286927
1,NA,Reference,Acartia,Adult,2,28.79456706
1,NA,Reference,Acartia,Adult,3,7.470288625
1,NA,Reference,Acartia,Adult,1,7.877758913
1,NA,Reference,Acartia,Adult,2,29.74533107
1,NA,Reference,Acartia,Adult,3,8.149405772
2,NA,Reference,Acartia,Adult,1,25.12733447
2,NA,Reference,Acartia,Adult,2,15.34804754
2,NA,Reference,Acartia,Adult,3,21.5959253
2,NA,Reference,Acartia,Adult,1,16.84210526
2,NA,Reference,Acartia,Adult,2,20.37351443
2,NA,Reference,Acartia,Adult,3,22.5466893
1,NA,Reference,Tmora,Nauplii,1,10.5942275
1,NA,Reference,Tmora,Nauplii,2,6.247877759
1,NA,Reference,Tmora,Nauplii,3,12.90322581
1,NA,Reference,Tmora,Nauplii,1,16.16298812
1,NA,Reference,Tmora,Nauplii,2,5.568760611
1,NA,Reference,Tmora,Nauplii,3,11.81663837
2,NA,Reference,Tmora,Nauplii,1,20.91680815
2,NA,Reference,Tmora,Nauplii,2,24.99151104
2,NA,Reference,Tmora,Nauplii,3,26.75721562
2,NA,Reference,Tmora,Nauplii,1,21.32427844
2,NA,Reference,Tmora,Nauplii,2,23.49745331
2,NA,Reference,Tmora,Nauplii,3,33.82003396
1,NA,Reference,Tmora,Copopedite,1,1.086587436
1,NA,Reference,Tmora,Copopedite,2,0
1,NA,Reference,Tmora,Copopedite,3,0
1,NA,Reference,Tmora,Copopedite,1,0
1,NA,Reference,Tmora,Copopedite,2,0
1,NA,Reference,Tmora,Copopedite,3,0
2,NA,Reference,Tmora,Copopedite,1,0.543293718
2,NA,Reference,Tmora,Copopedite,2,2.173174873
2,NA,Reference,Tmora,Copopedite,3,1.086587436
2,NA,Reference,Tmora,Copopedite,1,0.543293718
2,NA,Reference,Tmora,Copopedite,2,1.901528014
2,NA,Reference,Tmora,Copopedite,3,1.358234295
1,NA,Reference,Tmora,Adult,1,1.222410866
1,NA,Reference,Tmora,Adult,2,0
1,NA,Reference,Tmora,Adult,3,0
1,NA,Reference,Tmora,Adult,1,0
1,NA,Reference,Tmora,Adult,2,0
1,NA,Reference,Tmora,Adult,3,0
2,NA,Reference,Tmora,Adult,1,0.407470289
2,NA,Reference,Tmora,Adult,2,1.086587436
2,NA,Reference,Tmora,Adult,3,0.679117148
2,NA,Reference,Tmora,Adult,1,0.13582343
2,NA,Reference,Tmora,Adult,2,0.814940577
2,NA,Reference,Tmora,Adult,3,0.407470289
1,NA,Reference,Oithona,Nauplii,1,0.271646859
1,NA,Reference,Oithona,Nauplii,2,0
1,NA,Reference,Oithona,Nauplii,3,0
1,NA,Reference,Oithona,Nauplii,1,0
1,NA,Reference,Oithona,Nauplii,2,0
1,NA,Reference,Oithona,Nauplii,3,0
2,NA,Reference,Oithona,Nauplii,1,0
2,NA,Reference,Oithona,Nauplii,2,0
2,NA,Reference,Oithona,Nauplii,3,0
2,NA,Reference,Oithona,Nauplii,1,0
2,NA,Reference,Oithona,Nauplii,2,0
2,NA,Reference,Oithona,Nauplii,3,0
1,NA,Reference,Oithona,Copopedite,1,0.271646859
1,NA,Reference,Oithona,Copopedite,2,0
1,NA,Reference,Oithona,Copopedite,3,0
1,NA,Reference,Oithona,Copopedite,1,0
1,NA,Reference,Oithona,Copopedite,2,0
1,NA,Reference,Oithona,Copopedite,3,0
2,NA,Reference,Oithona,Copopedite,1,1.358234295
2,NA,Reference,Oithona,Copopedite,2,1.358234295
2,NA,Reference,Oithona,Copopedite,3,0.814940577
2,NA,Reference,Oithona,Copopedite,1,0.543293718
2,NA,Reference,Oithona,Copopedite,2,0.814940577
2,NA,Reference,Oithona,Copopedite,3,0.407470289
1,NA,Reference,Oithona,Adult,1,0.543293718
1,NA,Reference,Oithona,Adult,2,0
1,NA,Reference,Oithona,Adult,3,0
1,NA,Reference,Oithona,Adult,1,0
1,NA,Reference,Oithona,Adult,2,0
1,NA,Reference,Oithona,Adult,3,0
2,NA,Reference,Oithona,Adult,1,2.85229202
2,NA,Reference,Oithona,Adult,2,1.494057725
2,NA,Reference,Oithona,Adult,3,1.222410866
2,NA,Reference,Oithona,Adult,1,2.308998302
2,NA,Reference,Oithona,Adult,2,2.308998302
2,NA,Reference,Oithona,Adult,3,1.494057725
1,NA,Reference,Tmora,Nauplii,1,0
1,NA,Reference,Tmora,Nauplii,2,0
1,NA,Reference,Tmora,Nauplii,3,0
1,NA,Reference,Tmora,Nauplii,1,0
1,NA,Reference,Tmora,Nauplii,2,0
1,NA,Reference,Tmora,Nauplii,3,0
2,NA,Reference,Tmora,Nauplii,1,0
2,NA,Reference,Tmora,Nauplii,2,0
2,NA,Reference,Tmora,Nauplii,3,0
2,NA,Reference,Tmora,Nauplii,1,0
2,NA,Reference,Tmora,Nauplii,2,0
2,NA,Reference,Tmora,Nauplii,3,0
1,NA,Reference,Tmora,Copopedite,1,0.271646859
1,NA,Reference,Tmora,Copopedite,2,0
1,NA,Reference,Tmora,Copopedite,3,0
1,NA,Reference,Tmora,Copopedite,1,0
1,NA,Reference,Tmora,Copopedite,2,0
1,NA,Reference,Tmora,Copopedite,3,0
2,NA,Reference,Tmora,Copopedite,1,0
2,NA,Reference,Tmora,Copopedite,2,0.13582343
2,NA,Reference,Tmora,Copopedite,3,0.13582343
2,NA,Reference,Tmora,Copopedite,1,0.271646859
2,NA,Reference,Tmora,Copopedite,2,0
2,NA,Reference,Tmora,Copopedite,3,0.13582343
1,NA,Reference,Tmora,Adult,1,0.271646859
1,NA,Reference,Tmora,Adult,2,0
1,NA,Reference,Tmora,Adult,3,0
1,NA,Reference,Tmora,Adult,1,0
1,NA,Reference,Tmora,Adult,2,0
1,NA,Reference,Tmora,Adult,3,0
2,NA,Reference,Tmora,Adult,1,0.407470289
2,NA,Reference,Tmora,Adult,2,0.407470289
2,NA,Reference,Tmora,Adult,3,0.543293718
2,NA,Reference,Tmora,Adult,1,0.13582343
2,NA,Reference,Tmora,Adult,2,0.407470289
2,NA,Reference,Tmora,Adult,3,0.679117148